especie,area,perimetro,raiomedio,raiosd,raiomin,raiomax,eixomaior,ecentricidade
limao,1.14893617021277,4.37988826815642,0.643083798882682,0.224804469273743,0.253944134078212,1.07781005586592,1.89405586592179,0.92
limao,2.81778505182761,6.07821229050279,0.937608938547486,0.277586592178771,0.516491620111732,1.40911731843575,2.80245810055866,0.907
limao,2.57501363884343,5.67597765363128,0.890502793296089,0.249340782122905,0.541497206703911,1.39260335195531,2.59059217877095,0.893
limao,3.57283142389525,7.8659217877095,1.15305027932961,0.411731843575419,0.55463687150838,1.95014525139665,3.44154189944134,0.933
limao,0.693944353518822,2.79329608938547,0.467664804469274,0.124581005586592,0.294815642458101,0.679620111731844,1.33928491620112,0.892
limao,2.40752864157119,5.29608938547486,0.857519553072626,0.217206703910615,0.577139664804469,1.26846927374302,2.41103910614525,0.874
limao,1.60720130932897,4.93854748603352,0.741541899441341,0.247932960893855,0.368960893854749,1.21202234636871,2.23635754189944,0.925
limao,4.27168576104746,7.50837988826816,1.17311731843575,0.340782122905028,0.692737430167598,1.8426592178771,3.39173184357542,0.898
limao,3.03655210038189,5.85474860335195,0.952893854748603,0.22545251396648,0.628178770949721,1.40643575418994,2.62393296089386,0.857
limao,1.18930714675396,4.20111731843575,0.633340782122905,0.215351955307263,0.285296089385475,1.04395530726257,1.93928491620112,0.924
limao,3.72340425531915,6.70391061452514,1.08840223463687,0.286368715083799,0.67059217877095,1.60462569832402,3.06719553072626,0.885
limao,3.39170758319694,6.4804469273743,1.04277094972067,0.246972067039106,0.756558659217877,1.59671508379888,2.7211843575419,0.84
limao,2.9645390070922,5.98882681564246,0.956871508379888,0.224379888268156,0.633854748603352,1.42234636871508,2.55702793296089,0.846
limao,1.39279869067103,4.22346368715084,0.664469273743017,0.18263687150838,0.441050279329609,1.0343687150838,1.86943016759777,0.883
limao,1.57828696126568,4.40223463687151,0.72408938547486,0.215888268156425,0.413474860335196,1.12867039106145,2.11454748603352,0.91
limao,4.09001636661211,7.79888268156425,1.18393296089385,0.374748603351955,0.605631284916201,1.92263687150838,3.43316201117318,0.909
limao,1.24877250409165,4,0.65195530726257,0.201251396648045,0.359351955307263,1.02183240223464,1.92230167597765,0.916
limao,0.771412984178942,3.21787709497207,0.523776536312849,0.161810055865922,0.266167597765363,0.832201117318436,1.49680446927374,0.912
limao,3.02564102564103,6.63687150837989,1.01179888268156,0.335217877094972,0.506435754189944,1.68724022346369,3.02062569832402,0.917
limao,5.23404255319149,8.42458100558659,1.30426815642458,0.374972067039106,0.711307262569832,2.03693854748603,3.70263687150838,0.889
limao,0.68303327877796,3.0391061452514,0.462368715083799,0.148067039106145,0.207374301675978,0.704245810055866,1.41707262569832,0.91
limao,3.98472449536279,7.68715083798883,1.16116201117318,0.33327374301676,0.68936312849162,1.84976536312849,3.18739664804469,0.884
limao,4.63066012002182,7.35195530726257,1.19839106145251,0.26408938547486,0.861385474860335,1.75124022346369,3.11097206703911,0.827
limao,2.8025095471904,6.68156424581006,0.983664804469274,0.329765363128492,0.503195530726257,1.59264804469274,2.96643575418994,0.925
limao,1.89961811238407,5.09497206703911,0.794614525139665,0.239687150837989,0.44786592178771,1.26529608938547,2.29146368715084,0.904
limao,1.48008728859793,4.91620111731844,0.720871508379888,0.259597765363129,0.310122905027933,1.22109497206704,2.2416312849162,0.934
limao,3.44026186579378,6.45810055865922,1.0287374301676,0.251217877094972,0.671865921787709,1.53941899441341,2.81651396648045,0.86
limao,1.63447899618112,4.93854748603352,0.740871508379888,0.253497206703911,0.350525139664804,1.22420111731844,2.2851843575419,0.927
limao,1.11020185488271,3.84357541899441,0.59072625698324,0.17854748603352,0.360022346368715,0.917787709497207,1.77157541899441,0.91
mexerica,0.814039981403998,3.71988795518207,0.538274509803922,0.197949579831933,0.237322128851541,0.921243697478992,1.49777030812325,0.921
mexerica,0.961723229505656,3.70868347338936,0.552425770308123,0.15447619047619,0.347798319327731,0.893266106442577,1.40049299719888,0.851
mexerica,0.848597551526422,3.31652661064426,0.500728291316527,0.166823529411765,0.209366946778711,0.80927731092437,1.51270588235294,0.919
mexerica,0.905625290562529,3.87675070028011,0.558386554621849,0.211148459383753,0.219619047619048,0.966543417366947,1.62802240896359,0.93
mexerica,1.00511390051139,3.80952380952381,0.567731092436975,0.185478991596639,0.303114845938375,0.929770308123249,1.58767507002801,0.906
mexerica,1.04122113745545,3.77591036414566,0.570565826330532,0.173378151260504,0.332190476190476,0.923417366946779,1.55344537815126,0.89
mexerica,0.705253370525337,3.27170868347339,0.47727731092437,0.185131652661064,0.168504201680672,0.815843137254902,1.53872268907563,0.942
mexerica,0.65055013172168,3.13725490196078,0.463551820728291,0.159439775910364,0.22346218487395,0.779719887955182,1.30665546218487,0.916
mexerica,0.826437315977065,3.5406162464986,0.518767507002801,0.176089635854342,0.275282913165266,0.861535014005602,1.50864985994398,0.923
mexerica,0.936618626995196,3.55182072829132,0.537053221288515,0.162196078431373,0.323159663865546,0.87006162464986,1.46704761904762,0.888
mexerica,0.421354408802108,2.34173669467787,0.374935574229692,0.13752380952381,0.131058823529412,0.613557422969188,1.17377030812325,0.941
mexerica,1.02370990237099,4.02240896358543,0.586173669467787,0.217131652661064,0.228336134453782,0.991350140056022,1.73309803921569,0.933
